NDVI,date,latitude,longitude
0.3633,2010-01-01,16.06,76.51
0.3176,2010-01-17,16.06,76.51
0.3059,2010-02-02,16.06,76.51
0.2619,2010-02-18,16.06,76.51
0.2627,2010-03-06,16.06,76.51
0.2385,2010-03-22,16.06,76.51
0.2531,2010-04-07,16.06,76.51
0.228,2010-04-23,16.06,76.51
0.2197,2010-05-09,16.06,76.51
0.2289,2010-05-25,16.06,76.51
0.2614,2010-06-10,16.06,76.51
0.2722,2010-06-26,16.06,76.51
0.3279,2010-07-12,16.06,76.51
0.3968,2010-07-28,16.06,76.51
0.4812,2010-08-13,16.06,76.51
0.3312,2010-08-29,16.06,76.51
0.4515,2010-09-14,16.06,76.51
0.4426,2010-09-30,16.06,76.51
0.4369,2010-10-16,16.06,76.51
0.4922,2010-11-01,16.06,76.51
0.4518,2010-11-17,16.06,76.51
0.4171,2010-12-03,16.06,76.51
0.3653,2010-12-19,16.06,76.51
0.3621,2011-01-01,16.06,76.51
0.3308,2011-01-17,16.06,76.51
0.2879,2011-02-02,16.06,76.51
0.2758,2011-02-18,16.06,76.51
0.2664,2011-03-06,16.06,76.51
0.242,2011-03-22,16.06,76.51
0.2394,2011-04-07,16.06,76.51
0.2424,2011-04-23,16.06,76.51
0.2276,2011-05-09,16.06,76.51
0.2418,2011-05-25,16.06,76.51
0.3171,2011-06-10,16.06,76.51
0.2089,2011-06-26,16.06,76.51
0.3636,2011-07-12,16.06,76.51
0.2811,2011-07-28,16.06,76.51
0.1721,2011-08-13,16.06,76.51
0.061,2011-08-29,16.06,76.51
0.4133,2011-09-14,16.06,76.51
0.4661,2011-09-30,16.06,76.51
0.4107,2011-10-16,16.06,76.51
0.3658,2011-11-01,16.06,76.51
0.3493,2011-11-17,16.06,76.51
0.3224,2011-12-03,16.06,76.51
0.2927,2011-12-19,16.06,76.51
0.2776,2012-01-01,16.06,76.51
0.2472,2012-01-17,16.06,76.51
0.25,2012-02-02,16.06,76.51
0.2262,2012-02-18,16.06,76.51
0.2132,2012-03-05,16.06,76.51
0.2078,2012-03-21,16.06,76.51
0.24,2012-04-06,16.06,76.51
0.1903,2012-04-22,16.06,76.51
0.22,2012-05-08,16.06,76.51
0.1838,2012-05-24,16.06,76.51
0.1638,2012-06-09,16.06,76.51
0.2216,2012-06-25,16.06,76.51
0.2069,2012-07-11,16.06,76.51
0.1879,2012-07-27,16.06,76.51
0.2464,2012-08-12,16.06,76.51
0.2589,2012-08-28,16.06,76.51
0.4254,2012-09-13,16.06,76.51
0.5097,2012-09-29,16.06,76.51
0.5158,2012-10-15,16.06,76.51
0.4879,2012-10-31,16.06,76.51
0.4475,2012-11-16,16.06,76.51
0.3355,2012-12-02,16.06,76.51
0.3386,2012-12-18,16.06,76.51
0.2913,2013-01-01,16.06,76.51
0.2706,2013-01-17,16.06,76.51
0.2589,2013-02-02,16.06,76.51
0.2469,2013-02-18,16.06,76.51
0.2241,2013-03-06,16.06,76.51
0.211,2013-03-22,16.06,76.51
0.2229,2013-04-07,16.06,76.51
0.2149,2013-04-23,16.06,76.51
0.1857,2013-05-09,16.06,76.51
0.2077,2013-05-25,16.06,76.51
0.1894,2013-06-10,16.06,76.51
0.2628,2013-06-26,16.06,76.51
0.2584,2013-07-12,16.06,76.51
0.337,2013-07-28,16.06,76.51
0.3944,2013-08-13,16.06,76.51
0.1226,2013-08-29,16.06,76.51
0.5009,2013-09-14,16.06,76.51
0.5133,2013-09-30,16.06,76.51
0.5236,2013-10-16,16.06,76.51
0.4432,2013-11-01,16.06,76.51
0.4173,2013-11-17,16.06,76.51
0.3935,2013-12-03,16.06,76.51
0.3206,2013-12-19,16.06,76.51
0.3281,2014-01-01,16.06,76.51
0.2661,2014-01-17,16.06,76.51
0.2479,2014-02-02,16.06,76.51
0.2429,2014-02-18,16.06,76.51
0.252,2014-03-06,16.06,76.51
0.2476,2014-03-22,16.06,76.51
0.2222,2014-04-07,16.06,76.51
0.224,2014-04-23,16.06,76.51
0.2005,2014-05-09,16.06,76.51
0.2638,2014-05-25,16.06,76.51
0.2873,2014-06-10,16.06,76.51
0.3345,2014-06-26,16.06,76.51
0.3971,2014-07-12,16.06,76.51
0.4392,2014-07-28,16.06,76.51
0.3377,2014-08-13,16.06,76.51
0.4837,2014-08-29,16.06,76.51
0.3822,2014-09-14,16.06,76.51
0.5059,2014-09-30,16.06,76.51
0.432,2014-10-16,16.06,76.51
0.3869,2014-11-01,16.06,76.51
0.4003,2014-11-17,16.06,76.51
0.3695,2014-12-03,16.06,76.51
0.3528,2014-12-19,16.06,76.51
0.2984,2015-01-01,16.06,76.51
0.2873,2015-01-17,16.06,76.51
0.2397,2015-02-02,16.06,76.51
0.2432,2015-02-18,16.06,76.51
0.2269,2015-03-06,16.06,76.51
0.2259,2015-03-22,16.06,76.51
0.2354,2015-04-07,16.06,76.51
0.2305,2015-04-23,16.06,76.51
0.2201,2015-05-09,16.06,76.51
0.2441,2015-05-25,16.06,76.51
0.2355,2015-06-10,16.06,76.51
0.232,2015-06-26,16.06,76.51
0.1416,2015-07-12,16.06,76.51
0.2356,2015-07-28,16.06,76.51
0.1175,2015-08-13,16.06,76.51
0.296,2015-08-29,16.06,76.51
0.3391,2015-09-14,16.06,76.51
0.3859,2015-09-30,16.06,76.51
0.4037,2015-10-16,16.06,76.51
0.3639,2015-11-01,16.06,76.51
0.3494,2015-11-17,16.06,76.51
0.3371,2015-12-03,16.06,76.51
0.3168,2015-12-19,16.06,76.51
0.2681,2016-01-01,16.06,76.51
0.2426,2016-01-17,16.06,76.51
0.2492,2016-02-02,16.06,76.51
0.2474,2016-02-18,16.06,76.51
0.2166,2016-03-05,16.06,76.51
0.2218,2016-03-21,16.06,76.51
0.2076,2016-04-06,16.06,76.51
0.2194,2016-04-22,16.06,76.51
0.2164,2016-05-08,16.06,76.51
0.2045,2016-05-24,16.06,76.51
0.3138,2016-06-09,16.06,76.51
0.2593,2016-06-25,16.06,76.51
0.3381,2016-07-11,16.06,76.51
0.1691,2016-07-27,16.06,76.51
0.2637,2016-08-12,16.06,76.51
0.2001,2016-08-28,16.06,76.51
0.0953,2016-09-13,16.06,76.51
0.5179,2016-09-29,16.06,76.51
0.4283,2016-10-15,16.06,76.51
0.4104,2016-10-31,16.06,76.51
0.3256,2016-11-16,16.06,76.51
0.2957,2016-12-02,16.06,76.51
0.2826,2016-12-18,16.06,76.51
0.2736,2017-01-01,16.06,76.51
0.2501,2017-01-17,16.06,76.51
0.2361,2017-02-02,16.06,76.51
0.2301,2017-02-18,16.06,76.51
0.2345,2017-03-06,16.06,76.51
0.2218,2017-03-22,16.06,76.51
0.2207,2017-04-07,16.06,76.51
0.2038,2017-04-23,16.06,76.51
0.2013,2017-05-09,16.06,76.51
0.2338,2017-05-25,16.06,76.51
0.2111,2017-06-10,16.06,76.51
0.1424,2017-06-26,16.06,76.51
0.1868,2017-07-12,16.06,76.51
0.2259,2017-07-28,16.06,76.51
0.1885,2017-08-13,16.06,76.51
0.3479,2017-08-29,16.06,76.51
0.4368,2017-09-14,16.06,76.51
0.6266,2017-09-30,16.06,76.51
0.55,2017-10-16,16.06,76.51
0.5373,2017-11-01,16.06,76.51
0.4923,2017-11-17,16.06,76.51
0.4232,2017-12-03,16.06,76.51
0.3924,2017-12-19,16.06,76.51
0.3348,2018-01-01,16.06,76.51
0.3119,2018-01-17,16.06,76.51
0.303,2018-02-02,16.06,76.51
0.3079,2018-02-18,16.06,76.51
0.2688,2018-03-06,16.06,76.51
0.2752,2018-03-22,16.06,76.51
0.2782,2018-04-07,16.06,76.51
0.2262,2018-04-23,16.06,76.51
